sample_id,inference_ms,db_write_ms
561,28.02,5.1
562,32.26,3.15
563,35.28,1.95
564,30.82,3.6
565,30.67,1.89
566,34.74,0.98
567,28.22,1.49
568,31.68,1.05
569,30.3,1.93
570,28.56,2.24
571,29.63,4.35
572,31.51,2.54
573,29.75,2.04
574,28.47,3.1
575,32.94,0.92
576,40.27,2.45
577,29.2,3.03
578,28.5,1.23
579,27.14,3.52
580,33.99,2.55
581,34.71,1.88
582,27.13,2.87
583,32.68,5.52
584,26.83,2.39
585,28.73,2.46
586,29.98,1.85
587,29.27,1.58
588,34.88,3.1
589,29.67,1.58
590,28.25,2.29
591,29.44,1.84
592,27.24,2.7
593,29.06,2.54
594,27.07,3.37
595,31.87,1.81
596,27.93,2.0
597,27.61,1.5
598,38.39,1.86
599,27.54,2.59
600,26.81,3.01
601,28.19,1.54
602,27.51,3.15
603,28.58,3.83
604,27.99,2.63
605,27.03,4.71
606,27.84,1.63
607,27.89,1.35
608,18.17,1.09
609,27.3,4.05
610,26.66,2.89
611,28.19,2.18
612,28.58,2.49
613,25.89,1.42
614,26.86,5.92
615,27.23,2.34
616,26.84,2.33
617,26.65,2.98
618,26.77,2.7
619,28.16,2.43
620,27.61,1.62
621,27.82,2.69
622,28.47,4.72
623,27.2,3.81
624,27.19,4.21
625,28.7,1.81
626,26.09,1.5
627,27.76,2.12
628,27.12,2.28
629,25.82,3.45
630,32.65,1.13
631,27.06,4.1
632,26.58,2.09
633,27.05,1.88
634,26.25,1.48
635,27.86,1.15
636,28.98,3.09
637,26.81,2.29
638,31.27,1.33
639,27.75,1.33
640,29.3,1.95
641,27.05,4.34
642,26.38,2.01
643,45.43,1.22
644,26.49,2.02
645,27.4,2.0
646,28.09,0.76
647,26.58,2.18
648,27.47,2.03
649,26.93,2.94
650,27.15,4.66
651,29.59,3.49
652,26.33,2.0
653,30.52,1.43
654,28.96,6.23
655,26.79,2.28
656,27.92,2.24
657,26.08,2.2
658,27.09,2.41
659,26.17,2.1
660,26.2,1.77
661,27.01,1.79
662,26.53,2.2
663,27.64,1.79
664,65.69,1.67
665,28.28,2.32
666,26.59,2.01
667,29.05,4.06
668,26.04,0.77
669,26.61,3.44
670,26.55,3.66
671,27.41,0.97
672,25.69,1.94
673,27.64,1.92
674,26.96,1.27
675,26.4,1.63
676,26.51,1.43
677,28.36,4.49
678,27.38,3.24
679,26.6,3.7
680,26.49,2.97
681,26.96,1.42
682,26.1,1.8
683,27.74,2.71
