sample_id,inference_ms,db_write_ms
447,0.99,0.28
448,0.99,0.29
449,0.98,0.28
450,1.02,0.29
451,0.97,0.31
452,0.98,0.28
453,0.91,0.29
454,1.01,0.26
455,0.94,0.3
456,0.86,0.3
457,1.0,0.28
458,0.97,0.29
459,0.98,0.28
460,0.96,0.28
461,0.97,0.28
462,0.98,0.29
463,0.99,0.28
464,0.99,0.28
465,0.94,0.27
466,0.96,0.28
467,0.94,0.27
468,0.93,0.27
469,0.93,0.27
470,1.0,0.37
471,0.99,0.27
472,0.94,0.27
473,0.95,0.27
474,0.99,0.27
475,1.01,0.29
476,1.0,0.29
477,0.98,0.29
478,1.02,0.28
479,0.97,0.32
480,0.96,0.28
481,0.94,0.32
482,0.99,0.28
483,0.95,0.32
484,0.97,0.29
485,1.01,231.82
486,1.35,0.39
487,1.33,0.38
488,1.4,0.39
489,1.3,0.45
490,1.29,0.4
491,1.34,0.28
492,0.97,0.33
493,0.95,0.28
494,0.95,0.28
495,1.02,0.28
496,0.98,0.28
497,0.96,0.28
498,0.97,0.28
499,0.96,0.28
500,0.97,0.28
501,0.98,0.28
502,0.97,0.28
503,0.97,0.28
504,1.03,0.28
505,0.98,0.34
506,0.99,0.28
507,0.97,0.28
508,0.99,0.29
509,0.99,0.28
510,0.99,0.3
511,1.01,0.27
512,0.95,0.28
513,0.98,0.28
514,1.01,0.28
515,1.05,0.28
516,0.98,0.28
517,1.01,0.28
518,1.08,0.31
519,1.01,0.3
520,1.02,0.3
521,1.0,0.3
522,1.0,0.3
523,1.02,0.3
524,1.05,0.3
525,1.05,0.29
526,1.03,0.3
527,1.07,0.27
528,0.95,0.27
529,1.01,0.27
530,0.93,0.26
531,1.0,0.27
532,0.96,0.26
533,0.99,0.27
534,0.94,0.26
535,0.91,0.26
536,0.95,0.27
537,0.94,0.28
538,0.97,0.28
539,0.98,0.28
540,0.93,0.29
541,0.98,0.28
542,1.17,0.33
543,1.16,0.32
544,1.08,0.32
545,1.08,0.32
546,1.14,0.32
547,0.95,0.33
548,0.93,0.28
549,0.92,1.46
550,0.91,0.32
551,0.94,0.29
552,0.97,1.2
553,0.99,0.28
554,0.93,0.27
555,0.94,0.28
556,0.98,0.28
557,0.98,0.28
558,0.97,0.28
559,0.98,0.28
560,0.97,0.28
561,0.99,0.28
562,1.01,0.28
563,1.0,0.33
564,0.97,0.28
565,0.97,0.33
566,0.95,0.29
567,0.97,0.28
568,0.89,0.28
569,0.97,0.33
570,0.93,0.27
571,0.99,0.26
572,0.96,0.27
573,0.95,0.27
574,0.98,0.27
575,0.94,0.27
576,0.97,0.26
577,0.95,0.27
578,0.97,0.27
579,1.08,0.28
580,0.99,0.29
581,0.99,0.27
582,1.0,0.28
583,1.0,0.28
584,0.99,0.28
585,1.0,0.28
586,0.97,0.28
587,0.98,0.28
588,0.98,0.29
589,0.97,0.28
590,0.97,0.28
591,0.96,0.28
592,0.97,0.28
593,0.97,0.28
594,0.98,0.28
595,0.97,0.28
596,0.98,0.28
597,0.97,0.28
598,0.97,0.28
599,0.99,0.28
600,0.97,0.28
601,0.98,0.28
602,0.98,0.28
603,1.0,0.28
604,1.0,0.28
605,0.99,0.28
606,0.99,0.28
607,1.0,0.28
608,0.99,0.29
609,1.07,0.29
610,1.03,0.32
611,1.05,0.27
612,0.99,0.28
613,1.06,0.33
614,1.0,0.28
615,1.04,0.28
616,0.99,0.29
617,1.04,0.28
618,0.98,0.28
619,1.04,0.28
620,1.07,0.29
621,1.06,0.28
622,1.06,0.28
623,1.04,0.29
624,1.03,0.28
625,0.99,0.29
626,1.02,0.28
627,0.98,0.28
628,1.03,0.31
