sample_index,elapsed_hours,ram_mb,cpu_percent,ram_linear_trend_mb
265,66.25,6781.33,33.3,6741.25
266,66.5,6781.33,20.0,6741.25
267,66.75,6781.33,33.3,6741.25
268,67.0,6781.33,20.0,6741.25
269,67.25,6781.33,0.0,6741.25
270,67.5,6781.33,0.0,6741.25
271,67.75,6781.33,0.0,6741.25
272,68.0,6781.32,50.0,6741.25
273,68.25,6781.31,20.0,6741.26
274,68.5,6781.31,0.0,6741.26
275,68.75,6781.3,40.0,6741.26
276,69.0,6781.29,0.0,6741.26
277,69.25,6781.14,25.0,6741.26
278,69.5,6781.12,0.0,6741.26
279,69.75,6781.12,0.0,6741.26
280,70.0,6781.11,0.0,6741.26
281,70.25,6781.1,25.0,6741.26
282,70.5,6781.09,25.0,6741.26
283,70.75,6781.09,0.0,6741.26
284,71.0,6781.32,25.0,6741.26
285,71.25,6781.31,0.0,6741.26
286,71.5,6781.3,0.0,6741.26
287,71.75,6781.29,25.0,6741.26
288,72.0,6781.29,0.0,6741.26
289,72.25,6781.29,33.3,6741.27
290,72.5,6781.29,33.3,6741.27
291,72.75,6781.29,0.0,6741.27
292,73.0,6781.25,33.3,6741.27
293,73.25,6781.24,0.0,6741.27
294,73.5,6781.23,20.0,6741.27
295,73.75,6781.23,0.0,6741.27
296,74.0,6781.21,0.0,6741.27
297,74.25,6781.21,25.0,6741.27
298,74.5,6781.2,0.0,6741.27
299,74.75,6781.19,33.3,6741.27
300,75.0,6781.18,20.0,6741.27
301,75.25,6781.18,0.0,6741.27
302,75.5,6781.16,0.0,6741.27
303,75.75,6781.16,33.3,6741.27
304,76.0,6781.16,20.0,6741.27
305,76.25,6781.15,0.0,6741.27
306,76.5,6781.15,25.0,6741.28
307,76.75,6781.14,33.3,6741.28
308,77.0,6781.13,0.0,6741.28
309,77.25,6781.12,50.0,6741.28
310,77.5,6781.11,33.3,6741.28
311,77.75,6781.11,0.0,6741.28
312,78.0,6781.09,25.0,6741.28
313,78.25,6781.09,25.0,6741.28
314,78.5,6781.07,0.0,6741.28
315,78.75,6781.07,25.0,6741.28
316,79.0,6781.06,0.0,6741.28
317,79.25,6781.05,25.0,6741.28
318,79.5,6781.04,0.0,6741.28
319,79.75,6781.04,33.3,6741.28
320,80.0,6781.02,0.0,6741.28
321,80.25,6781.02,0.0,6741.28
322,80.5,6781.01,0.0,6741.29
323,80.75,6781.0,50.0,6741.29
324,81.0,6780.99,20.0,6741.29
325,81.25,6780.98,0.0,6741.29
326,81.5,6780.97,25.0,6741.29
327,81.75,6780.96,0.0,6741.29
328,82.0,6780.96,20.0,6741.29
329,82.25,6780.95,0.0,6741.29
330,82.5,6780.94,0.0,6741.29
331,82.75,6780.93,33.3,6741.29
332,83.0,6780.92,42.9,6741.29
333,83.25,6780.91,40.0,6741.29
334,83.5,6780.91,0.0,6741.29
335,83.75,6780.9,25.0,6741.29
336,84.0,6780.89,0.0,6741.29
337,84.25,6780.89,0.0,6741.29
338,84.5,6780.87,33.3,6741.29
339,84.75,6780.86,0.0,6741.3
340,85.0,6780.85,33.3,6741.3
341,85.25,6780.84,0.0,6741.3
342,85.5,6780.84,0.0,6741.3
343,85.75,6780.83,25.0,6741.3
344,86.0,6780.82,33.3,6741.3
345,86.25,6780.81,0.0,6741.3
346,86.5,6774.2,0.0,6741.3
347,86.75,6773.81,0.0,6741.3
348,87.0,6773.66,40.0,6741.3
349,87.25,6773.65,0.0,6741.3
350,87.5,6773.64,40.0,6741.3
351,87.75,6773.63,33.3,6741.3
352,88.0,6773.62,20.0,6741.3
353,88.25,6773.61,0.0,6741.3
354,88.5,6773.61,0.0,6741.3
355,88.75,6773.6,0.0,6741.3
356,89.0,6773.59,20.0,6741.31
357,89.25,6773.58,0.0,6741.31
358,89.5,6773.57,25.0,6741.31
359,89.75,6773.56,0.0,6741.31
360,90.0,6773.55,25.0,6741.31
361,90.25,6773.55,0.0,6741.31
362,90.5,6773.54,33.3,6741.31
363,90.75,6773.53,0.0,6741.31
364,91.0,6773.52,25.0,6741.31
365,91.25,6773.51,25.0,6741.31
366,91.5,6773.51,0.0,6741.31
367,91.75,6773.5,0.0,6741.31
368,92.0,6773.49,0.0,6741.31
369,92.25,6773.48,33.3,6741.31
370,92.5,6773.04,20.0,6741.31
371,92.75,6772.71,0.0,6741.31
372,93.0,6772.71,0.0,6741.32
373,93.25,6772.7,33.3,6741.32
374,93.5,6772.68,33.3,6741.32
375,93.75,6772.68,0.0,6741.32
376,94.0,6772.67,0.0,6741.32
377,94.25,6772.66,50.0,6741.32
378,94.5,6772.65,20.0,6741.32
379,94.75,6772.64,33.3,6741.32
380,95.0,6772.64,0.0,6741.32
381,95.25,6772.63,6.7,6741.32
382,95.5,6772.63,0.0,6741.32
383,95.75,6772.62,33.3,6741.32
384,96.0,6772.84,11.1,6741.32
385,96.25,6772.84,0.0,6741.32
386,96.5,6772.83,0.0,6741.32
387,96.75,6772.83,0.0,6741.32
388,97.0,6772.83,0.0,6741.32
